"","Date","HomeTeam","AwayTeam","FTHG","FTAG","B365H","B365D","B365A","BWH","BWD","BWA","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","WHH","WHD","WHA"
"242","02/02/13","Everton","Aston Villa",3,3,1.4,5,9,1.35,4.6,9.25,1.35,4.6,9.25,1.42,4.4,7.2,1.4,4.33,7.5,1.4,4.2,9
"243","02/02/13","Fulham","Man United",0,1,5.5,4.2,1.65,5.5,4.1,1.57,5.5,4.1,1.57,5.6,3.75,1.57,6,3.75,1.57,5.5,3.6,1.67
"235","30/01/13","Arsenal","Liverpool",2,2,2.4,3.5,3.1,2.4,3.2,3,2.4,3.2,3,2.2,3.3,3.1,2.2,3.5,3.1,2.4,3.1,3.1
"227","20/01/13","Chelsea","Arsenal",2,1,1.91,3.6,4,1.91,3.4,4,1.91,3.4,4,1.9,3.45,3.8,1.83,3.75,4,1.95,3.3,4
"228","20/01/13","Tottenham","Man United",1,1,2.9,3.6,2.5,2.85,3.6,2.3,2.85,3.6,2.3,2.9,3.3,2.3,3,3.5,2.25,3,3,2.5
"221","19/01/13","Man City","Fulham",2,0,1.25,6.5,14,1.23,6,11.5,1.23,6,11.5,1.22,5.5,12,1.25,6,10,1.29,5,11
"217","13/01/13","Arsenal","Man City",0,2,2.63,3.5,2.8,2.55,3.4,2.65,2.55,3.4,2.65,2.65,3.3,2.5,2.7,3.4,2.5,2.7,3,2.8
"218","13/01/13","Man United","Liverpool",2,1,1.91,3.8,4.2,1.8,3.8,4.1,1.8,3.8,4.1,1.75,3.6,4.3,1.83,3.75,4,1.95,3.3,4
"211","12/01/13","Fulham","Wigan",1,1,2.05,3.5,4,1.91,3.4,4,1.91,3.4,4,1.9,3.45,3.8,1.95,3.5,3.75,2.05,3.2,3.8
"205","01/01/13","Wigan","Man United",0,4,6,4.2,1.53,6.25,4.2,1.5,6.25,4.2,1.5,6.1,4,1.5,6,4.33,1.5,6,3.75,1.57
"197","30/12/12","Everton","Chelsea",1,2,2.88,3.3,2.5,2.9,3.2,2.45,2.9,3.2,2.45,2.65,3.3,2.5,2.8,3.25,2.5,2.8,3.1,2.6
"190","29/12/12","Aston Villa","Wigan",0,3,2.4,3.25,3,2.35,3.2,3.1,2.35,3.2,3.1,2.2,3.2,3.2,2.3,3.25,3.1,2.4,3.1,3.1
"180","26/12/12","Aston Villa","Tottenham",0,4,3.75,3.5,2,3.75,3.5,1.95,3.75,3.5,1.95,3.3,3.3,2.1,3.4,3.5,2.05,3.75,3.2,2.05
"181","26/12/12","Everton","Wigan",2,1,1.44,4.5,7,1.48,4.1,7,1.48,4.1,7,1.47,4,6.6,1.5,4.2,6.5,1.5,4.2,6.5
"178","23/12/12","Chelsea","Aston Villa",8,0,1.33,5.5,8.5,1.34,5,8.25,1.34,5,8.25,1.33,4.8,8.3,1.36,4.5,9,1.36,4.5,9
"170","22/12/12","Liverpool","Fulham",4,0,1.53,4,6.5,1.57,3.7,6.25,1.57,3.7,6.25,1.57,3.75,5.6,1.57,3.75,6,1.57,3.5,7
"177","22/12/12","Wigan","Arsenal",0,1,4.75,3.75,1.73,4.5,3.9,1.7,4.5,3.9,1.7,4.7,3.6,1.7,4.5,3.75,1.73,5,3.4,1.75
"161","15/12/12","Liverpool","Aston Villa",1,3,1.36,4.75,9,1.35,4.5,9.25,1.35,4.5,9.25,1.4,4.4,7.3,1.4,4.5,8,1.33,4.75,8.5
"156","09/12/12","Everton","Tottenham",2,1,2,3.5,3.75,2,3.3,3.75,2,3.3,3.75,2.1,3.3,3.3,2.05,3.3,3.6,1.95,3.5,3.6
"157","09/12/12","Man City","Man United",2,3,2.2,3.5,3.2,2.15,3.3,3.3,2.15,3.3,3.3,2.3,3.3,2.9,2.25,3.2,3.2,2.3,3,3.4
"141","01/12/12","Fulham","Tottenham",0,3,2.88,3.3,2.5,2.9,3.3,2.35,2.9,3.3,2.35,2.75,3.2,2.45,3,3.4,2.3,3,3,2.5
"143","01/12/12","Man City","Everton",1,1,1.5,4,7,1.55,3.7,6.5,1.55,3.7,6.5,1.5,4,6.1,1.5,4,6.5,1.57,3.8,6
"132","28/11/12","Chelsea","Fulham",0,0,1.44,4.5,7,1.44,4.33,7,1.44,4.33,7,1.5,4,6.1,1.4,4.5,7.5,1.5,4,7
"133","28/11/12","Everton","Arsenal",1,1,2.5,3.4,2.75,2.45,3.2,2.85,2.45,3.2,2.85,2.4,3.3,2.75,2.5,3.4,2.7,2.5,3.2,2.8
"138","28/11/12","Tottenham","Liverpool",2,1,2.4,3.4,2.88,2.35,3.3,2.9,2.35,3.3,2.9,2.15,3.3,3.2,2.38,3.25,3,2.4,3.3,2.9
"139","28/11/12","Wigan","Man City",0,2,6,4.2,1.53,6,4,1.53,6,4,1.53,5.4,3.7,1.6,6,4,1.53,6,4,1.53
"126","25/11/12","Chelsea","Man City",0,0,2.5,3.5,2.7,2.55,3.3,2.65,2.55,3.3,2.65,2.6,3.2,2.6,2.62,3.25,2.7,2.62,3.1,2.8
"120","24/11/12","Aston Villa","Arsenal",0,0,4.75,3.75,1.73,5,3.8,1.65,5,3.8,1.65,4.7,3.6,1.7,5,3.5,1.73,5,3.4,1.75
"110","17/11/12","Arsenal","Tottenham",5,2,1.91,3.75,3.8,1.95,3.7,3.9,1.95,3.7,3.9,2,3.3,3.6,1.95,3.6,3.6,1.95,3.4,4
"111","17/11/12","Liverpool","Wigan",3,0,1.44,4.33,7.5,1.44,4.33,7,1.44,4.33,7,1.45,4,7,1.44,4.33,7,1.44,4.33,7.5
"112","17/11/12","Man City","Aston Villa",5,0,1.2,6.5,15,1.22,6.5,10.5,1.22,6.5,10.5,1.2,5.8,13,1.22,6,12,1.22,6,13
