"","Date","HomeTeam","AwayTeam","FTHG","FTAG","B365H","B365D","B365A","BWH","BWD","BWA","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","WHH","WHD","WHA"
"149","12/12/11","Chelsea","Man City",2,1,2.4,3.3,3,2.45,3.5,2.8,2.4,3.3,2.8,2.3,3.2,2.8,2.4,3.3,2.88,2.38,3.2,2.75
"140","10/12/11","Arsenal","Everton",1,0,1.53,4,6.5,1.53,4,7,1.57,3.6,6,1.55,3.7,5.4,1.53,3.75,7,1.53,3.8,5.5
"1391","05/12/11","Fulham","Liverpool",1,0,3.5,3.4,2.1,3.4,3.3,2.2,3.2,3.25,2.2,3.2,3.2,2.1,3.4,3.4,2.1,3.3,3.2,2.25
"130","03/12/11","Aston Villa","Man United",0,1,5,3.6,1.73,5,3.5,1.7,5,3.5,1.7,4.3,3.4,1.75,5,3.75,1.67,5,3.4,1.75
"136","03/12/11","Wigan","Arsenal",0,4,6,4,1.57,5.75,4.1,1.53,6,3.75,1.55,5.5,3.8,1.52,6,3.75,1.57,6,3.8,1.57
"128","27/11/11","Liverpool","Man City",1,1,2.75,3.2,2.63,2.9,3.2,2.4,2.75,3.2,2.5,2.7,3.2,2.4,2.88,3.3,2.4,2.8,3.4,2.45
"1201","26/11/11","Arsenal","Fulham",1,1,1.44,4.2,8,1.4,4.3,8,1.45,4,7.5,1.4,4.1,7,1.44,4.33,7,1.5,4.2,6.5
"119","21/11/11","Tottenham","Aston Villa",2,0,1.57,4,6,1.5,4.33,6.5,1.55,3.75,6,1.55,3.7,5.4,1.5,4.2,6.5,1.55,4.33,5.5
"118","20/11/11","Chelsea","Liverpool",1,2,1.83,3.5,4.5,1.75,3.6,4.5,1.8,3.3,4.5,1.75,3.4,4.3,1.83,3.4,4.5,1.91,3.1,4.5
"1081","06/11/11","Fulham","Tottenham",1,3,3.25,3.3,2.25,3.25,3.4,2.25,3.1,3.25,2.25,2.75,3.2,2.35,3.25,3.3,2.2,3.2,3.2,2.3
"901","29/10/11","Chelsea","Arsenal",3,5,1.62,4,5.5,1.62,3.9,5,1.6,3.75,5.5,1.6,3.6,5,1.62,3.6,6,1.67,3.5,5.5
"911","29/10/11","Everton","Man United",0,1,4.5,3.6,1.8,4.6,3.7,1.72,4.5,3.5,1.75,3.7,3.3,1.9,4.5,3.5,1.8,4.5,3.4,1.83
"97","29/10/11","Wigan","Fulham",0,2,2.88,3.25,2.5,2.9,3.2,2.45,2.9,3.2,2.4,2.6,3.2,2.5,2.8,3.3,2.5,2.9,3.1,2.5
"871","23/10/11","Fulham","Everton",1,3,2.25,3.25,3.3,2.3,3.2,3.1,2.3,3.25,3,2.4,3.2,2.7,2.38,3.25,3,2.4,3,3.2
"88","23/10/11","Man United","Man City",1,6,2,3.4,3.8,2.05,3.3,3.8,2.05,3.3,3.5,2,3.3,3.3,2.1,3.3,3.6,2.1,3.3,3.5
"701","15/10/11","Chelsea","Everton",3,1,1.36,4.5,10,1.35,4.5,9,1.33,4.75,9,1.35,4.5,7.3,1.33,5,9,1.36,4.75,8.5
"71","15/10/11","Liverpool","Man United",1,1,3,3.3,2.4,3.1,3.3,2.35,2.9,3.25,2.4,2.7,3.2,2.4,3.2,3,2.5,3.2,3.1,2.5
"72","15/10/11","Man City","Aston Villa",4,1,1.33,5,10,1.34,4.75,8.75,1.33,4.75,9,1.35,4.5,7.3,1.36,4.5,9,1.33,5,8.5
"691","02/10/11","Tottenham","Arsenal",2,1,2.1,3.4,3.5,2.15,3.4,3.4,2.1,3.4,3.25,2.2,3.3,2.9,2.2,3.4,3.25,2.15,3.5,3.2
"60","01/10/11","Aston Villa","Wigan",2,0,1.62,3.75,6,1.6,3.8,5.5,1.6,3.6,5.75,1.7,3.5,4.4,1.67,3.5,6,1.6,3.75,6
"62","01/10/11","Everton","Liverpool",0,2,3.1,3.2,2.4,3.1,3.2,2.4,2.9,3.2,2.4,2.7,3.2,2.4,2.9,3.25,2.5,2.9,3.25,2.45
"531","24/09/11","Man City","Everton",2,0,1.44,4.33,7.5,1.4,4.4,7.75,1.4,4.33,7.5,1.4,4.1,7,1.44,4.33,7.5,1.44,4,8.5
"57","24/09/11","Wigan","Tottenham",1,2,4,3.5,1.91,4,3.35,1.9,3.75,3.4,1.95,3.3,3.3,2,3.75,3.4,2,3.8,3.3,2
"461","18/09/11","Fulham","Man City",2,2,6.5,3.8,1.57,6.5,3.75,1.53,5.75,3.75,1.57,5.4,3.7,1.55,6.5,3.75,1.57,6,3.6,1.62
"471","18/09/11","Man United","Chelsea",3,1,1.83,3.5,4.5,1.85,3.5,4.5,1.8,3.5,4.2,1.8,3.4,4,1.83,3.5,4.5,1.85,3.3,4.5
"49","18/09/11","Tottenham","Liverpool",4,0,2.63,3.4,2.63,2.7,3.25,2.7,2.6,3.25,2.6,2.4,3.3,2.65,2.62,3.2,2.75,2.7,3,2.8
"43","17/09/11","Everton","Wigan",3,1,1.5,4,7,1.53,3.75,6.5,1.55,3.75,6,1.6,3.6,5,1.57,3.6,7,1.53,3.6,7.5
"32","10/09/11","Everton","Aston Villa",2,2,2,3.4,3.8,2.1,3.25,3.75,2.05,3.25,3.5,1.9,3.3,3.7,2,3.3,3.8,2,3.3,3.8
"331","10/09/11","Man City","Wigan",3,0,1.17,7,17,1.14,7,20,1.18,6,15,1.22,5.3,11,1.17,7,17,1.18,6.5,17
"26","28/08/11","Man United","Arsenal",8,2,1.5,4.33,6.5,1.45,4,7.5,1.5,4,6.5,1.55,3.7,5.4,1.5,4,7,1.53,3.75,7
"28","28/08/11","Tottenham","Man City",1,5,2.88,3.3,2.5,2.9,3.4,2.45,2.75,3.2,2.5,2.5,3.3,2.5,2.88,3.3,2.4,2.9,3.1,2.5
"191","22/08/11","Man United","Tottenham",3,0,1.67,3.75,5.5,1.62,3.75,5.25,1.65,3.5,5.5,1.5,3.9,5.5,1.62,3.75,5.5,1.67,4,4.75
"102","20/08/11","Arsenal","Liverpool",0,2,2.5,3.25,2.9,2.45,3.3,2.95,2.5,3.1,2.8,2.3,3.2,2.8,2.38,3.25,3,2.6,3.2,2.75
"2","13/08/11","Fulham","Aston Villa",0,0,2.2,3.2,3.5,2.05,3.3,3.45,2.1,3.2,3.5,2.2,3.2,3,2.2,3.3,3.3,2.2,3.2,3.4
"3711","22/05/11","Aston Villa","Liverpool",1,0,3.2,3.4,2.25,3.15,3.35,2.15,3,3.3,2.25,2.8,3.2,2.3,3,3.25,2.38,2.62,3.2,2.3
"373","22/05/11","Everton","Chelsea",1,0,3.1,3.25,2.38,3.1,3.4,2.15,3,3.3,2.25,2.8,3.1,2.4,3.1,3.3,2.3,2.62,3.2,2.3
"374","22/05/11","Fulham","Arsenal",2,2,3.75,3.6,1.95,3.8,3.4,1.9,3.75,3.5,1.9,3.3,3.3,2,3.6,3.5,2,3.5,3.4,1.95
"3712","22/05/11","Aston Villa","Liverpool",1,0,3.2,3.4,2.25,3.15,3.35,2.15,3,3.3,2.25,2.8,3.2,2.3,3,3.25,2.38,2.62,3.2,2.3
"3731","22/05/11","Everton","Chelsea",1,0,3.1,3.25,2.38,3.1,3.4,2.15,3,3.3,2.25,2.8,3.1,2.4,3.1,3.3,2.3,2.62,3.2,2.3
"3741","22/05/11","Fulham","Arsenal",2,2,3.75,3.6,1.95,3.8,3.4,1.9,3.75,3.5,1.9,3.3,3.3,2,3.6,3.5,2,3.5,3.4,1.95
"365","15/05/11","Arsenal","Aston Villa",1,2,1.36,5,8.5,1.35,4.5,8.25,1.33,4.75,9,1.25,5,10,1.36,5,8,1.4,4.5,8
"368","15/05/11","Liverpool","Tottenham",0,2,1.73,3.8,4.75,1.7,3.65,4.5,1.75,3.5,4.5,1.85,3.4,3.8,1.73,3.75,4.5,1.8,3.5,4.5
"3651","15/05/11","Arsenal","Aston Villa",1,2,1.36,5,8.5,1.35,4.5,8.25,1.33,4.75,9,1.25,5,10,1.36,5,8,1.4,4.5,8
"3681","15/05/11","Liverpool","Tottenham",0,2,1.73,3.8,4.75,1.7,3.65,4.5,1.75,3.5,4.5,1.85,3.4,3.8,1.73,3.75,4.5,1.8,3.5,4.5
"3601","10/05/11","Man City","Tottenham",1,0,1.91,3.4,4.2,1.9,3.3,4,1.95,3.4,3.75,2,3.4,3.2,1.91,3.4,4,1.95,3.3,4
"3602","10/05/11","Man City","Tottenham",1,0,1.91,3.4,4.2,1.9,3.3,4,1.95,3.4,3.75,2,3.4,3.2,1.91,3.4,4,1.95,3.3,4
"359","09/05/11","Fulham","Liverpool",2,5,2.88,3.25,2.5,2.95,3.25,2.3,2.9,3.2,2.4,2.8,3.2,2.3,2.8,3.3,2.5,2.8,3.2,2.5
"3591","09/05/11","Fulham","Liverpool",2,5,2.88,3.25,2.5,2.95,3.25,2.3,2.9,3.2,2.4,2.8,3.2,2.3,2.8,3.3,2.5,2.8,3.2,2.5
"3562","08/05/11","Man United","Chelsea",2,1,2.38,3.25,3.1,2.2,3.25,3.1,2.3,3.25,3,2.1,3.2,3.2,2.38,3.25,3,2.4,3,3.25
"3563","08/05/11","Man United","Chelsea",2,1,2.38,3.25,3.1,2.2,3.25,3.1,2.3,3.25,3,2.1,3.2,3.2,2.38,3.25,3,2.4,3,3.25
"350","07/05/11","Aston Villa","Wigan",1,1,1.8,3.6,4.5,1.75,3.45,4.5,1.8,3.5,4.25,1.9,3.4,3.6,1.83,3.5,4.33,1.75,3.75,4.5
"352","07/05/11","Everton","Man City",2,1,2.7,3.2,2.7,2.6,3.2,2.6,2.6,3.25,2.6,2.6,3.2,2.5,2.8,3.3,2.5,2.8,3,2.7
"3501","07/05/11","Aston Villa","Wigan",1,1,1.8,3.6,4.5,1.75,3.45,4.5,1.8,3.5,4.25,1.9,3.4,3.6,1.83,3.5,4.33,1.75,3.75,4.5
"3521","07/05/11","Everton","Man City",2,1,2.7,3.2,2.7,2.6,3.2,2.6,2.6,3.25,2.6,2.6,3.2,2.5,2.8,3.3,2.5,2.8,3,2.7
"346","01/05/11","Arsenal","Man United",1,0,2.5,3.25,2.88,2.5,3.2,2.7,2.5,3.2,2.75,2.5,3.2,2.6,2.62,3.3,2.62,2.45,3.25,2.9
"3461","01/05/11","Arsenal","Man United",1,0,2.5,3.25,2.88,2.5,3.2,2.7,2.5,3.2,2.75,2.5,3.2,2.6,2.62,3.3,2.62,2.45,3.25,2.9
"342","30/04/11","Chelsea","Tottenham",2,1,1.44,4.33,7.5,1.45,4,7,1.5,4,6,1.55,3.8,5.2,1.53,4,6,1.5,4.2,6.5
"345","30/04/11","Wigan","Everton",1,1,2.8,3.25,2.6,2.85,3.2,2.4,2.75,3.2,2.5,2.5,3.3,2.5,2.8,3.3,2.5,2.75,3.2,2.6
"3421","30/04/11","Chelsea","Tottenham",2,1,1.44,4.33,7.5,1.45,4,7,1.5,4,6,1.55,3.8,5.2,1.53,4,6,1.5,4.2,6.5
"3451","30/04/11","Wigan","Everton",1,1,2.8,3.25,2.6,2.85,3.2,2.4,2.75,3.2,2.5,2.5,3.3,2.5,2.8,3.3,2.5,2.75,3.2,2.6
"332","23/04/11","Man United","Everton",1,0,1.44,4.33,7.5,1.45,3.75,8,1.44,4.25,7,1.45,3.9,6.5,1.44,4.2,7.5,1.5,3.75,8
"3321","23/04/11","Man United","Everton",1,0,1.44,4.33,7.5,1.45,3.75,8,1.44,4.25,7,1.45,3.9,6.5,1.44,4.2,7.5,1.5,3.75,8
"327","20/04/11","Tottenham","Arsenal",3,3,2.88,3.4,2.4,2.8,3.25,2.4,2.75,3.4,2.4,2.5,3.3,2.5,2.62,3.4,2.6,2.8,3.3,2.5
"3271","20/04/11","Tottenham","Arsenal",3,3,2.88,3.4,2.4,2.8,3.25,2.4,2.75,3.4,2.4,2.5,3.3,2.5,2.62,3.4,2.6,2.8,3.3,2.5
"3241","17/04/11","Arsenal","Liverpool",1,1,1.73,3.6,5,1.7,3.5,4.75,1.7,3.75,4.5,1.75,3.4,4.3,1.73,3.5,5,1.8,3.1,5.5
"3242","17/04/11","Arsenal","Liverpool",1,1,1.73,3.6,5,1.7,3.5,4.75,1.7,3.75,4.5,1.75,3.4,4.3,1.73,3.5,5,1.8,3.1,5.5
"3182","11/04/11","Liverpool","Man City",3,0,2.6,3.2,2.8,2.35,3.2,2.9,2.5,3.2,2.75,2.3,3.2,2.8,2.4,3.3,2.9,2.5,3.2,2.88
"3183","11/04/11","Liverpool","Man City",3,0,2.6,3.2,2.8,2.35,3.2,2.9,2.5,3.2,2.75,2.3,3.2,2.8,2.4,3.3,2.9,2.5,3.2,2.88
"311","09/04/11","Chelsea","Wigan",1,0,1.2,6,17,1.2,5.5,15,1.2,6,13,1.25,5,10,1.2,6.5,13,1.25,5,15
"3121","09/04/11","Man United","Fulham",2,0,1.44,4.33,7.5,1.45,4,7,1.45,4,7.5,1.4,4.1,7,1.44,4.33,7,1.5,3.75,7.5
"3111","09/04/11","Chelsea","Wigan",1,0,1.2,6,17,1.2,5.5,15,1.2,6,13,1.25,5,10,1.2,6.5,13,1.25,5,15
"3122","09/04/11","Man United","Fulham",2,0,1.44,4.33,7.5,1.45,4,7,1.45,4,7.5,1.4,4.1,7,1.44,4.33,7,1.5,3.75,7.5
"301","02/04/11","Everton","Aston Villa",2,2,1.83,3.6,4.33,1.8,3.4,4.3,1.85,3.5,4,1.85,3.4,3.8,1.91,3.4,4,1.83,3.6,4.2
"306","02/04/11","Wigan","Tottenham",0,0,3,3.25,2.4,3.05,3.25,2.25,3.1,3.25,2.25,2.75,3.3,2.3,3,3.25,2.38,2.9,3.3,2.38
"3011","02/04/11","Everton","Aston Villa",2,2,1.83,3.6,4.33,1.8,3.4,4.3,1.85,3.5,4,1.85,3.4,3.8,1.91,3.4,4,1.83,3.6,4.2
"3061","02/04/11","Wigan","Tottenham",0,0,3,3.25,2.4,3.05,3.25,2.25,3.1,3.25,2.25,2.75,3.3,2.3,3,3.25,2.38,2.9,3.3,2.38
"297","20/03/11","Chelsea","Man City",2,0,1.62,3.75,6,1.6,3.7,5.5,1.65,3.5,5.5,1.7,3.5,4.4,1.67,3.5,5.5,1.62,3.6,6
"2971","20/03/11","Chelsea","Man City",2,0,1.62,3.75,6,1.6,3.7,5.5,1.65,3.5,5.5,1.7,3.5,4.4,1.67,3.5,5.5,1.62,3.6,6
"291","19/03/11","Everton","Fulham",2,1,2,3.25,4,1.95,3.25,3.8,1.95,3.3,3.8,1.8,3.4,4,1.91,3.4,4,2.05,3.25,3.8
"2911","19/03/11","Everton","Fulham",2,1,2,3.25,4,1.95,3.25,3.8,1.95,3.3,3.8,1.8,3.4,4,1.91,3.4,4,2.05,3.25,3.8
"2851","06/03/11","Liverpool","Man United",3,1,2.8,3.2,2.6,2.85,3.25,2.55,2.75,3.2,2.5,2.8,3.2,2.3,2.88,3.2,2.5,2.88,3.2,2.5
"2852","06/03/11","Liverpool","Man United",3,1,2.8,3.2,2.6,2.85,3.25,2.55,2.75,3.2,2.5,2.8,3.2,2.3,2.88,3.2,2.5,2.88,3.2,2.5
"282","05/03/11","Man City","Wigan",1,0,1.36,4.75,9,1.3,4.75,9.75,1.35,4.5,9,1.4,4.1,7,1.36,4.5,9,1.4,4.5,8
"2821","05/03/11","Man City","Wigan",1,0,1.36,4.75,9,1.3,4.75,9.75,1.35,4.5,9,1.4,4.1,7,1.36,4.5,9,1.4,4.5,8
"277","01/03/11","Chelsea","Man United",2,1,2.2,3.2,3.6,2.25,3.2,3.05,2.2,3.2,3.25,2.2,3.1,3.1,2.2,3.3,3.3,2.2,3.25,3.3
"2771","01/03/11","Chelsea","Man United",2,1,2.2,3.2,3.6,2.25,3.2,3.05,2.2,3.2,3.25,2.2,3.1,3.1,2.2,3.3,3.3,2.2,3.25,3.3
"274","27/02/11","Man City","Fulham",1,1,1.5,4,7.5,1.5,3.75,6.75,1.5,3.75,7,1.5,3.8,5.7,1.44,4.2,7.5,1.57,3.6,6.5
"2741","27/02/11","Man City","Fulham",1,1,1.5,4,7.5,1.5,3.75,6.75,1.5,3.75,7,1.5,3.8,5.7,1.44,4.2,7.5,1.57,3.6,6.5
"272","26/02/11","Wigan","Man United",0,4,6.5,4,1.53,5.75,3.8,1.55,6,3.75,1.55,7.2,4.3,1.37,7,4,1.5,6,3.6,1.6
"2721","26/02/11","Wigan","Man United",0,4,6.5,4,1.53,5.75,3.8,1.55,6,3.75,1.55,7.2,4.3,1.37,7,4,1.5,6,3.6,1.6
"264","14/02/11","Fulham","Chelsea",0,0,5,3.6,1.73,4.75,3.5,1.7,4.75,3.4,1.75,4.4,3.5,1.7,4.5,3.5,1.8,4.5,3.5,1.8
"2641","14/02/11","Fulham","Chelsea",0,0,5,3.6,1.73,4.75,3.5,1.7,4.75,3.4,1.75,4.4,3.5,1.7,4.5,3.5,1.8,4.5,3.5,1.8
"2591","12/02/11","Liverpool","Wigan",1,1,1.36,4.75,9,1.35,4.35,9,1.35,4.5,9,1.35,4.5,7.3,1.33,4.6,10,1.36,4.5,9
"260","12/02/11","Man United","Man City",2,1,1.73,3.6,5,1.75,3.5,4.4,1.75,3.6,4.33,1.8,3.4,4,1.8,3.5,4.5,1.73,3.75,4.5
"2592","12/02/11","Liverpool","Wigan",1,1,1.36,4.75,9,1.35,4.35,9,1.35,4.5,9,1.35,4.5,7.3,1.33,4.6,10,1.36,4.5,9
"2601","12/02/11","Man United","Man City",2,1,1.73,3.6,5,1.75,3.5,4.4,1.75,3.6,4.33,1.8,3.4,4,1.8,3.5,4.5,1.73,3.75,4.5
"253","06/02/11","Chelsea","Liverpool",0,1,1.62,4,5.5,1.62,3.65,5.25,1.6,3.75,5.5,1.6,3.6,5,1.62,3.75,5.5,1.62,3.6,6
"2531","06/02/11","Chelsea","Liverpool",0,1,1.62,4,5.5,1.62,3.65,5.25,1.6,3.75,5.5,1.6,3.6,5,1.62,3.75,5.5,1.62,3.6,6
"2451","05/02/11","Aston Villa","Fulham",2,2,1.91,3.4,4.2,1.95,3.3,3.75,1.9,3.3,4,1.95,3.2,3.6,1.91,3.4,4,2,3.2,4
"2452","05/02/11","Aston Villa","Fulham",2,2,1.91,3.4,4.2,1.95,3.3,3.75,1.9,3.3,4,1.95,3.2,3.6,1.91,3.4,4,2,3.2,4
"2351","01/02/11","Arsenal","Everton",2,1,1.4,4.5,8.5,1.4,4.25,7.75,1.44,4,7.5,1.45,3.9,6.5,1.44,4.33,7,1.5,4,7
"236","01/02/11","Man United","Aston Villa",3,1,1.33,5,9.5,1.3,5,9,1.3,5,9,1.3,4.8,8.5,1.33,5,9,1.33,5,8.5
"2352","01/02/11","Arsenal","Everton",2,1,1.4,4.5,8.5,1.4,4.25,7.75,1.44,4,7.5,1.45,3.9,6.5,1.44,4.33,7,1.5,4,7
"2361","01/02/11","Man United","Aston Villa",3,1,1.33,5,9.5,1.3,5,9,1.3,5,9,1.3,4.8,8.5,1.33,5,9,1.33,5,8.5
"234","26/01/11","Liverpool","Fulham",1,0,1.53,3.8,7,1.55,3.7,6,1.57,3.75,5.75,1.55,3.7,5.4,1.57,3.6,6.5,1.57,3.8,6
"2341","26/01/11","Liverpool","Fulham",1,0,1.53,3.8,7,1.55,3.7,6,1.57,3.75,5.75,1.55,3.7,5.4,1.57,3.6,6.5,1.57,3.8,6
"233","25/01/11","Wigan","Aston Villa",1,2,3.2,3.25,2.3,3,3.2,2.3,3,3.25,2.3,2.7,3.2,2.4,3.1,3.3,2.3,3.1,3.2,2.3
"2331","25/01/11","Wigan","Aston Villa",1,2,3.2,3.25,2.3,3,3.2,2.3,3,3.25,2.3,2.7,3.2,2.4,3.1,3.3,2.3,3.1,3.2,2.3
"222","22/01/11","Arsenal","Wigan",3,0,1.2,6.5,15,1.2,5.65,14,1.2,6,13,1.23,5.3,11,1.2,6,15,1.22,6,13
"223","22/01/11","Aston Villa","Man City",1,0,3.5,3.4,2.1,3.55,3.35,2,3.6,3.3,2,3.3,3.3,2,3.75,3.4,2,3.4,3.3,2.15
"2221","22/01/11","Arsenal","Wigan",3,0,1.2,6.5,15,1.2,5.65,14,1.2,6,13,1.23,5.3,11,1.2,6,15,1.22,6,13
"2231","22/01/11","Aston Villa","Man City",1,0,3.5,3.4,2.1,3.55,3.35,2,3.6,3.3,2,3.3,3.3,2,3.75,3.4,2,3.4,3.3,2.15
"2191","16/01/11","Liverpool","Everton",2,2,2.2,3.2,3.5,2.2,3.3,3.4,2.2,3.25,3.2,2.1,3.2,3.2,2.25,3.25,3.25,2.15,3.25,3.5
"2212","16/01/11","Tottenham","Man United",0,0,2.88,3.3,2.5,2.9,3.4,2.45,2.8,3.25,2.4,3,3.2,2.2,3,3.25,2.38,2.8,3.3,2.5
"2192","16/01/11","Liverpool","Everton",2,2,2.2,3.2,3.5,2.2,3.3,3.4,2.2,3.25,3.2,2.1,3.2,3.2,2.25,3.25,3.25,2.15,3.25,3.5
"2213","16/01/11","Tottenham","Man United",0,0,2.88,3.3,2.5,2.9,3.4,2.45,2.8,3.25,2.4,3,3.2,2.2,3,3.25,2.38,2.8,3.3,2.5
"2171","15/01/11","Wigan","Fulham",1,1,2.5,3.25,2.88,2.45,3.05,2.9,2.4,3.25,2.8,2.4,3.2,2.7,2.5,3.3,2.8,2.5,3.2,2.88
"2172","15/01/11","Wigan","Fulham",1,1,2.5,3.25,2.88,2.45,3.05,2.9,2.4,3.25,2.8,2.4,3.2,2.7,2.5,3.3,2.8,2.5,3.2,2.88
"204","05/01/11","Arsenal","Man City",0,0,1.91,3.6,4,1.95,3.45,3.6,1.95,3.4,3.75,2,3.3,3.3,1.91,3.4,4,1.91,3.6,3.8
"208","05/01/11","Everton","Tottenham",2,1,2.63,3.25,2.75,2.65,3.2,2.55,2.6,3.25,2.6,2.55,3.2,2.55,2.7,3.25,2.62,2.62,3.25,2.62
"2041","05/01/11","Arsenal","Man City",0,0,1.91,3.6,4,1.95,3.45,3.6,1.95,3.4,3.75,2,3.3,3.3,1.91,3.4,4,1.91,3.6,3.8
"2081","05/01/11","Everton","Tottenham",2,1,2.63,3.25,2.75,2.65,3.2,2.55,2.6,3.25,2.6,2.55,3.2,2.55,2.7,3.25,2.62,2.62,3.25,2.62
"199","02/01/11","Chelsea","Aston Villa",3,3,1.25,5.5,13,1.22,5.75,11,1.25,5.25,12,1.3,4.8,8.5,1.25,5.5,12,1.25,5,15
"1991","02/01/11","Chelsea","Aston Villa",3,3,1.25,5.5,13,1.22,5.75,11,1.25,5.25,12,1.3,4.8,8.5,1.25,5.5,12,1.25,5,15
"196","01/01/11","Tottenham","Fulham",1,0,1.4,4.5,8.5,1.4,4.25,7.5,1.45,4,7.5,1.45,3.9,6.5,1.4,4.5,8,1.44,4.33,7
"1961","01/01/11","Tottenham","Fulham",1,0,1.4,4.5,8.5,1.4,4.25,7.5,1.45,4,7.5,1.45,3.9,6.5,1.4,4.5,8,1.44,4.33,7
"1901","29/12/10","Wigan","Arsenal",2,2,6.5,4.2,1.5,7,4,1.45,6.25,4,1.5,5.4,3.7,1.55,7,4.33,1.44,6.5,3.8,1.53
"1902","29/12/10","Wigan","Arsenal",2,2,6.5,4.2,1.5,7,4,1.45,6.25,4,1.5,5.4,3.7,1.55,7,4.33,1.44,6.5,3.8,1.53
"182","28/12/10","Man City","Aston Villa",4,0,1.44,4.2,8,1.45,4,7,1.45,4.25,7,1.5,3.8,5.7,1.5,4,7,1.44,4.2,7.5
"1821","28/12/10","Man City","Aston Villa",4,0,1.44,4.2,8,1.45,4,7,1.45,4.25,7,1.5,3.8,5.7,1.5,4,7,1.44,4.2,7.5
"1801","27/12/10","Arsenal","Chelsea",3,1,2.63,3.2,2.75,2.55,3.2,2.65,2.5,3.2,2.75,2.4,3.2,2.7,2.5,3.3,2.8,2.6,3.1,2.8
"1802","27/12/10","Arsenal","Chelsea",3,1,2.63,3.2,2.75,2.55,3.2,2.65,2.5,3.2,2.75,2.4,3.2,2.7,2.5,3.3,2.8,2.6,3.1,2.8
"1731","26/12/10","Aston Villa","Tottenham",1,2,3.2,3.3,2.3,3.1,3.2,2.25,3,3.2,2.3,2.7,3.2,2.4,3,3.25,2.38,3.1,3.25,2.3
"1732","26/12/10","Aston Villa","Tottenham",1,2,3.2,3.3,2.3,3.1,3.2,2.25,3,3.2,2.3,2.7,3.2,2.4,3,3.25,2.38,3.1,3.25,2.3
"172","20/12/10","Man City","Everton",1,2,1.73,3.6,5,1.65,3.65,5,1.7,3.5,5,1.6,3.6,5,1.73,3.5,5,1.75,3.5,4.8
"1721","20/12/10","Man City","Everton",1,2,1.73,3.6,5,1.65,3.65,5,1.7,3.5,5,1.6,3.6,5,1.73,3.5,5,1.75,3.5,4.8
"1691","13/12/10","Man United","Arsenal",1,0,2,3.4,3.8,1.95,3.4,3.6,1.95,3.4,3.75,1.85,3.3,3.9,2,3.4,3.75,2,3.4,3.75
"1692","13/12/10","Man United","Arsenal",1,0,2,3.4,3.8,1.95,3.4,3.6,1.95,3.4,3.75,1.85,3.3,3.9,2,3.4,3.75,2,3.4,3.75
"167","12/12/10","Tottenham","Chelsea",1,1,2.8,3.25,2.6,2.9,3.2,2.55,2.75,3.2,2.5,2.8,3.2,2.3,2.8,3.3,2.5,2.88,3.3,2.4
"1671","12/12/10","Tottenham","Chelsea",1,1,2.8,3.25,2.6,2.9,3.2,2.55,2.75,3.2,2.5,2.8,3.2,2.3,2.8,3.3,2.5,2.88,3.3,2.4
"1611","11/12/10","Everton","Wigan",0,0,1.4,4.5,9,1.4,4.25,7.75,1.45,4,7.5,1.45,3.9,6.5,1.44,4.33,7,1.44,4.2,7.5
"1612","11/12/10","Everton","Wigan",0,0,1.4,4.5,9,1.4,4.25,7.75,1.45,4,7.5,1.45,3.9,6.5,1.44,4.33,7,1.44,4.2,7.5
"159","06/12/10","Liverpool","Aston Villa",3,0,1.62,3.75,6,1.6,3.5,5.85,1.55,3.75,6,1.55,3.7,5.4,1.62,3.75,5.5,1.62,3.6,6
"1591","06/12/10","Liverpool","Aston Villa",3,0,1.62,3.75,6,1.6,3.5,5.85,1.55,3.75,6,1.55,3.7,5.4,1.62,3.75,5.5,1.62,3.6,6
"151","04/12/10","Arsenal","Fulham",2,1,1.29,5.25,12,1.25,5.25,11,1.3,5,9,1.25,5,10,1.29,5,11,1.3,5,11
"1541","04/12/10","Chelsea","Everton",1,1,1.36,4.75,9,1.35,4.5,8.25,1.35,4.5,9,1.35,4.5,7.3,1.36,5,7.5,1.4,4.2,9
"1511","04/12/10","Arsenal","Fulham",2,1,1.29,5.25,12,1.25,5.25,11,1.3,5,9,1.25,5,10,1.29,5,11,1.3,5,11
"1542","04/12/10","Chelsea","Everton",1,1,1.36,4.75,9,1.35,4.5,8.25,1.35,4.5,9,1.35,4.5,7.3,1.36,5,7.5,1.4,4.2,9
"150","28/11/10","Tottenham","Liverpool",2,1,2,3.4,3.8,2.15,3.4,3.5,2,3.3,3.6,2.1,3.2,3.2,2.1,3.3,3.5,2,3.2,4
"1501","28/11/10","Tottenham","Liverpool",2,1,2,3.4,3.8,2.15,3.4,3.5,2,3.3,3.6,2.1,3.2,3.2,2.1,3.3,3.5,2,3.2,4
"1411","27/11/10","Aston Villa","Arsenal",2,4,3.4,3.3,2.2,3.5,3.5,2.1,3.2,3.2,2.2,3.3,3.3,2,3.3,3.3,2.2,3.5,3.3,2.1
"1412","27/11/10","Aston Villa","Arsenal",2,4,3.4,3.3,2.2,3.5,3.5,2.1,3.2,3.2,2.2,3.3,3.3,2,3.3,3.3,2.2,3.5,3.3,2.1
"1392","21/11/10","Fulham","Man City",1,4,3.2,3.1,2.4,3.05,3.25,2.25,3,3.25,2.3,2.9,3.1,2.3,2.88,3.25,2.4,3,3.25,2.38
